Partition,Malicious clients,Breast Cancer: Accuracy (%),Breast Cancer: Drop (pp),Digits: Accuracy (%),Digits: Drop (pp),Wine: Accuracy (%),Wine: Drop (pp)
IID,0%,97.4 ± 1.4,0.0 ± 0.0,95.9 ± 0.5,0.0 ± 0.0,99.4 ± 1.2,0.0 ± 0.0
IID,10%,95.6 ± 2.1,1.8 ± 1.4,95.3 ± 0.5,0.6 ± 0.4,99.4 ± 1.2,0.0 ± 2.0
IID,20%,96.8 ± 1.5,0.5 ± 1.8,93.6 ± 0.8,2.3 ± 0.8,97.8 ± 1.2,1.7 ± 1.5
IID,30%,95.4 ± 1.6,1.9 ± 2.7,90.1 ± 1.4,5.8 ± 1.2,91.7 ± 4.4,7.8 ± 5.0
IID,40%,90.4 ± 5.9,7.0 ± 6.1,72.6 ± 7.9,23.3 ± 7.5,69.4 ± 19.4,30.0 ± 19.6
IID,50%,27.0 ± 16.7,70.4 ± 17.3,8.5 ± 3.5,87.4 ± 3.5,16.7 ± 14.2,82.8 ± 13.4
non-IID,0%,96.0 ± 2.5,0.0 ± 0.0,96.4 ± 0.4,0.0 ± 0.0,98.9 ± 1.5,0.0 ± 0.0
non-IID,10%,96.0 ± 1.8,0.0 ± 1.1,96.0 ± 0.2,0.4 ± 0.5,98.9 ± 1.5,0.0 ± 0.0
non-IID,20%,72.6 ± 37.0,23.3 ± 38.8,79.3 ± 17.4,17.2 ± 17.8,98.3 ± 1.5,0.6 ± 1.2
non-IID,30%,63.7 ± 37.3,32.3 ± 38.8,54.8 ± 9.5,41.7 ± 9.3,71.7 ± 26.7,27.2 ± 25.5
non-IID,40%,41.2 ± 47.3,54.7 ± 49.3,36.7 ± 20.5,59.7 ± 20.3,66.7 ± 31.1,32.2 ± 29.9
non-IID,50%,31.4 ± 38.0,64.6 ± 39.7,24.3 ± 14.0,72.1 ± 13.7,38.9 ± 25.4,60.0 ± 25.0
