scenario,dataset,model,attack,attack_mode,partition,intensity,clean_accuracy_mean,clean_accuracy_std,clean_accuracy_min,clean_accuracy_max,attacked_accuracy_mean,attacked_accuracy_std,attacked_accuracy_min,attacked_accuracy_max,accuracy_drop_pp_mean,accuracy_drop_pp_std,accuracy_drop_pp_min,accuracy_drop_pp_max,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_min,attack_success_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,positive_recall_mean,positive_recall_std,positive_recall_min,positive_recall_max,f1_mean,f1_std,f1_min,f1_max,n,seeds
s1,breast_cancer,logistic_regression,backdoor,trigger,-,0.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,0.009524,0.021296,0.000000,0.047619,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,backdoor,trigger,-,0.010000,0.970175,0.020195,0.938596,0.991228,0.961403,0.030132,0.921053,0.991228,0.877193,1.754386,-0.877193,3.508772,0.542857,0.129756,0.380952,0.738095,0.951587,0.036716,0.897817,0.988095,0.914286,0.064330,0.809524,0.976190,0.945061,0.044144,0.883117,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,backdoor,trigger,-,0.020000,0.970175,0.020195,0.938596,0.991228,0.964912,0.024023,0.938596,1.000000,0.526316,1.593500,-0.877193,2.631579,0.742857,0.107010,0.642857,0.880952,0.956349,0.031214,0.916667,1.000000,0.923809,0.061630,0.833333,1.000000,0.950253,0.034942,0.909091,1.000000,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,backdoor,trigger,-,0.050000,0.970175,0.020195,0.938596,0.991228,0.952632,0.029487,0.912281,0.973684,1.754386,1.961463,-0.877193,4.385965,0.838095,0.063888,0.785714,0.928571,0.942659,0.035683,0.890873,0.969246,0.904762,0.060703,0.809524,0.952381,0.932981,0.043249,0.871795,0.963855,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,backdoor,trigger,-,0.100000,0.970175,0.020195,0.938596,0.991228,0.954386,0.028694,0.912281,0.982456,1.578947,1.687314,-0.877193,3.508772,0.885714,0.070228,0.809524,0.952381,0.941071,0.039043,0.880952,0.981151,0.890476,0.080037,0.761905,0.976190,0.933520,0.044917,0.864865,0.976190,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,backdoor,trigger,-,0.200000,0.970175,0.020195,0.938596,0.991228,0.905263,0.022706,0.877193,0.929825,6.491228,2.287439,4.385965,9.649123,0.938095,0.062088,0.833333,1.000000,0.874405,0.030364,0.838294,0.904762,0.757143,0.061630,0.690476,0.809524,0.853798,0.039922,0.805556,0.894737,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,evasion,fgsm,-,0.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,,,,,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,evasion,fgsm,-,0.100000,0.970175,0.020195,0.938596,0.991228,0.898246,0.035955,0.859649,0.929825,7.192983,2.587348,5.263158,11.403509,0.074258,0.026936,0.053571,0.117117,0.889682,0.041951,0.829365,0.929563,0.857143,0.082478,0.714286,0.928571,0.860413,0.052075,0.789474,0.906977,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,evasion,fgsm,-,0.250000,0.970175,0.020195,0.938596,0.991228,0.742105,0.030765,0.692982,0.771930,22.807018,3.922926,17.543860,28.070175,0.234728,0.037900,0.186916,0.288288,0.748214,0.022441,0.717262,0.779762,0.771429,0.059761,0.666667,0.809524,0.688107,0.023712,0.660194,0.723404,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,evasion,fgsm,-,0.500000,0.970175,0.020195,0.938596,0.991228,0.338596,0.041424,0.289474,0.385965,63.157895,5.752139,55.263158,69.298246,0.650361,0.048430,0.588785,0.705357,0.372222,0.038329,0.328373,0.422619,0.500000,0.055838,0.452381,0.595238,0.357516,0.032501,0.330579,0.413223,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,evasion,fgsm,-,1.000000,0.970175,0.020195,0.938596,0.991228,0.061404,0.020572,0.043860,0.087719,90.877193,3.431159,85.087719,93.859649,0.936533,0.021992,0.906542,0.955357,0.083334,0.027919,0.059524,0.119048,0.166667,0.055838,0.119048,0.238095,0.115140,0.036289,0.084034,0.161290,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,extraction,label_only,-,0.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,,,,,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,extraction,label_only,-,10.000000,0.970175,0.020195,0.938596,0.991228,0.749123,0.097798,0.631579,0.868421,22.105263,10.028430,12.280702,34.210526,0.750877,0.097404,0.640351,0.877193,0.695238,0.167824,0.500000,0.890873,0.490476,0.454444,0.000000,0.976190,0.479901,0.372457,0.000000,0.845361,5,"0,1,2,3,4"
