System,Attack strength,Clean accuracy (%),Accuracy (%),Success (%),Success measure,Drop (pp)
Clean ML,none,98.9 ± 1.5,98.9 ± 1.5,—,—,0.0 ± 0.0
Poisoned ML,Poisoning rate 40%,98.9 ± 1.5,85.6 ± 5.3,—,undefined,13.3 ± 6.0
Targeted-poisoned ML,Source-class rows flipped 40%,98.9 ± 1.5,86.7 ± 2.3,38.3 ± 7.5,source rows → target,12.2 ± 3.2
Evaded ML,FGSM ε 1,98.9 ± 1.5,4.4 ± 1.5,95.5 ± 1.5,correct → wrong,94.4 ± 2.0
Backdoored ML (ARF),Triggered training rows 20%,98.9 ± 1.5,95.0 ± 2.3,95.5 ± 5.6,triggered rows → target,3.9 ± 3.2
Stolen ML (ARF),Queries 1000,98.9 ± 1.5,98.9 ± 1.5,100.0 ± 0.0,fidelity,0.0 ± 0.0
Membership-inferred ML (ARF),Known members per side 20,98.9 ± 1.5,98.9 ± 1.5,43.1 ± 6.0,membership accuracy,0.0 ± 0.0
Inverted ML (ARF),Queries per class 2000,98.9 ± 1.5,98.9 ± 1.5,88.0 ± 1.7,cosine × 100,0.0 ± 0.0
Clean FL,none,99.4 ± 1.2,99.4 ± 1.2,—,—,0.0 ± 0.0
"Malicious FL, label flip",Malicious clients 50%,99.4 ± 1.2,70.6 ± 7.8,—,undefined,28.9 ± 7.2
"Malicious FL, sign flip",Malicious clients 50%,99.4 ± 1.2,16.7 ± 14.2,—,undefined,82.8 ± 13.4
"Malicious FL, targeted flip",Malicious clients 50%,99.4 ± 1.2,82.8 ± 4.6,50.0 ± 13.2,source rows → target,16.7 ± 4.4
Backdoored FL (ARF),Malicious clients 50%,99.4 ± 1.2,93.9 ± 3.0,98.2 ± 2.5,triggered rows → target,5.6 ± 3.4
Clean QML,none,93.9 ± 2.3,93.9 ± 2.3,—,—,0.0 ± 0.0
Tampered QML,Injected RX(π/2) gates 16,93.9 ± 2.3,27.8 ± 16.7,73.2 ± 16.2,correct → wrong,66.1 ± 18.0
Shot-biased QML,Forged shots 40%,93.9 ± 2.3,34.4 ± 2.5,66.2 ± 3.2,correct → wrong,59.4 ± 4.2
Noisy QML,Error probability p 0.1,93.9 ± 2.3,60.6 ± 8.2,37.8 ± 9.3,correct → wrong,33.3 ± 9.2
Transpiler drift QML (QTF · TSV),RZ offset (rad) 0.8,93.9 ± 2.3,53.9 ± 15.5,44.7 ± 16.8,correct → wrong,40.0 ± 13.4
Transpiler swap QML (QTF · TSV),Inserted SWAPs 4,93.9 ± 2.3,52.8 ± 16.4,46.0 ± 17.8,correct → wrong,41.1 ± 17.7
Backdoored QML (ARF),Triggered training rows 20%,93.9 ± 2.3,95.6 ± 1.5,88.2 ± 6.9,triggered rows → target,-1.7 ± 3.2
Stolen QML (ARF),Queries 1000,93.9 ± 2.3,92.8 ± 4.2,92.2 ± 5.7,fidelity,1.1 ± 3.7
Membership-inferred QML (ARF),Known members per side 20,93.9 ± 2.3,93.9 ± 2.3,45.6 ± 8.1,membership accuracy,0.0 ± 0.0
Inverted QML (ARF),Queries per class 2000,93.9 ± 2.3,93.9 ± 2.3,86.2 ± 0.9,cosine × 100,0.0 ± 0.0
