Partition,Malicious clients,Breast Cancer: Accuracy (%),Breast Cancer: Success (%),Digits: Accuracy (%),Digits: Success (%),Wine: Accuracy (%),Wine: Success (%)
IID,0%,97.4 ± 1.4,4.8 ± 2.9,95.9 ± 0.5,0.0 ± 0.0,99.4 ± 1.2,0.0 ± 0.0
IID,10%,95.1 ± 2.4,13.3 ± 6.4,95.9 ± 0.7,1.7 ± 2.5,98.9 ± 1.5,1.7 ± 3.7
IID,20%,92.8 ± 2.5,19.5 ± 6.8,95.3 ± 1.0,5.6 ± 2.0,95.6 ± 4.6,11.7 ± 13.9
IID,30%,89.8 ± 3.4,27.6 ± 9.2,94.8 ± 0.7,7.8 ± 4.6,92.2 ± 4.6,20.0 ± 12.6
IID,40%,83.7 ± 3.2,44.3 ± 8.7,93.7 ± 0.9,19.4 ± 5.9,87.2 ± 1.5,35.0 ± 3.7
IID,50%,78.2 ± 2.4,59.0 ± 6.6,92.2 ± 0.8,33.9 ± 11.4,82.8 ± 4.6,50.0 ± 13.2
non-IID,0%,96.0 ± 2.5,6.7 ± 5.2,96.4 ± 0.4,0.0 ± 0.0,98.9 ± 1.5,0.0 ± 0.0
non-IID,10%,94.4 ± 3.1,14.3 ± 9.1,96.5 ± 0.3,0.0 ± 0.0,98.9 ± 1.5,1.7 ± 3.7
non-IID,20%,88.4 ± 12.7,30.5 ± 35.1,96.1 ± 0.6,1.7 ± 2.5,96.7 ± 3.0,8.3 ± 10.2
non-IID,30%,82.1 ± 13.5,48.6 ± 36.6,94.6 ± 1.8,14.4 ± 18.2,97.2 ± 3.4,8.3 ± 10.2
non-IID,40%,78.2 ± 12.0,59.0 ± 32.4,92.6 ± 2.9,30.6 ± 32.2,91.1 ± 4.1,26.7 ± 12.4
non-IID,50%,75.3 ± 12.1,67.1 ± 32.9,91.8 ± 3.2,37.8 ± 36.2,80.6 ± 12.9,56.7 ± 37.5
