Partition,Malicious clients,Breast Cancer: Accuracy (%),Breast Cancer: Success (%),Digits: Accuracy (%),Digits: Success (%),Wine: Accuracy (%),Wine: Success (%)
IID,0%,97.4 ± 1.4,0.0 ± 0.0,95.9 ± 0.5,8.6 ± 1.1,99.4 ± 1.2,0.0 ± 0.0
IID,10%,96.3 ± 2.3,39.5 ± 7.6,95.6 ± 0.4,65.2 ± 2.2,96.7 ± 3.0,60.9 ± 5.2
IID,20%,95.3 ± 2.9,65.7 ± 6.2,94.9 ± 0.3,84.7 ± 1.9,96.1 ± 3.7,79.1 ± 7.6
IID,30%,93.9 ± 2.8,78.1 ± 6.6,94.7 ± 0.5,93.0 ± 1.3,96.1 ± 3.7,93.6 ± 2.5
IID,40%,91.4 ± 2.7,86.7 ± 5.5,94.6 ± 0.3,95.6 ± 0.9,95.0 ± 2.3,96.4 ± 3.8
IID,50%,89.5 ± 2.6,91.9 ± 6.0,94.3 ± 0.3,97.5 ± 1.1,93.9 ± 3.0,98.2 ± 2.5
non-IID,0%,96.0 ± 2.5,0.0 ± 0.0,96.4 ± 0.4,8.3 ± 1.1,98.9 ± 1.5,0.0 ± 0.0
non-IID,10%,94.9 ± 2.3,33.3 ± 36.1,95.6 ± 0.4,41.9 ± 12.9,97.2 ± 2.8,40.0 ± 23.9
non-IID,20%,92.6 ± 7.4,45.7 ± 37.6,95.3 ± 0.5,72.9 ± 19.3,96.7 ± 3.0,67.3 ± 15.5
non-IID,30%,92.3 ± 7.8,64.3 ± 34.3,94.6 ± 0.5,88.1 ± 9.0,95.6 ± 3.2,78.2 ± 16.2
non-IID,40%,89.8 ± 6.7,76.2 ± 23.1,94.3 ± 0.8,93.6 ± 4.5,96.1 ± 3.7,90.9 ± 9.1
non-IID,50%,90.0 ± 6.7,81.4 ± 14.4,94.0 ± 0.7,95.7 ± 2.6,95.6 ± 3.2,92.7 ± 9.4
