run_id,timestamp,scenario,dataset,model,attack,attack_mode,intensity,seed,n_clients,partition,rounds,clean_accuracy,attacked_accuracy,accuracy_drop_pp,attack_success_rate,balanced_accuracy,positive_recall,f1,train_seconds,git_commit,config_hash
db5855788716,2026-09-08T00:53:23+00:00,s1,breast_cancer,logistic_regression,poisoning,symmetric,0.000000,0,,,,0.973684,0.973684,0.000000,,0.969246,0.952381,0.963855,0.024123,d2aeab4,50d3ffe794f9
13bce34c3a9a,2026-09-08T00:53:23+00:00,s1,breast_cancer,logistic_regression,poisoning,symmetric,0.000000,1,,,,0.982456,0.982456,0.000000,,0.981151,0.976190,0.976190,0.014800,d2aeab4,50d3ffe794f9
0768c7202f4f,2026-09-08T00:53:23+00:00,s1,breast_cancer,logistic_regression,poisoning,symmetric,0.000000,2,,,,0.964912,0.964912,0.000000,,0.962302,0.952381,0.952381,0.018609,d2aeab4,50d3ffe794f9
4ac643c31a63,2026-09-08T00:53:23+00:00,s1,breast_cancer,logistic_regression,poisoning,symmetric,0.000000,3,,,,0.991228,0.991228,0.000000,,0.988095,0.976190,0.987952,0.018911,d2aeab4,50d3ffe794f9
54550de7ae9f,2026-09-08T00:53:23+00:00,s1,breast_cancer,logistic_regression,poisoning,symmetric,0.000000,4,,,,0.938596,0.938596,0.000000,,0.916667,0.833333,0.909091,0.018363,d2aeab4,50d3ffe794f9
88fd9bc2f164,2026-09-08T00:53:23+00:00,s1,breast_cancer,logistic_regression,poisoning,symmetric,0.050000,0,,,,0.973684,0.929825,4.385965,,0.924603,0.904762,0.904762,0.024173,d2aeab4,e66eb67970e4
56b9bb21c8a2,2026-09-08T00:53:23+00:00,s1,breast_cancer,logistic_regression,poisoning,symmetric,0.050000,1,,,,0.982456,0.964912,1.754386,,0.962302,0.952381,0.952381,0.027766,d2aeab4,e66eb67970e4
f5e9a2607b4a,2026-09-08T00:53:23+00:00,s1,breast_cancer,logistic_regression,poisoning,symmetric,0.050000,2,,,,0.964912,0.938596,2.631579,,0.931548,0.904762,0.915663,0.025059,d2aeab4,e66eb67970e4
7d6c0179d4bf,2026-09-08T00:53:23+00:00,s1,breast_cancer,logistic_regression,poisoning,symmetric,0.050000,3,,,,0.991228,0.973684,1.754386,,0.964286,0.928571,0.962963,0.024773,d2aeab4,e66eb67970e4
e0af32c01381,2026-09-08T00:53:23+00:00,s1,breast_cancer,logistic_regression,poisoning,symmetric,0.050000,4,,,,0.938596,0.947368,-0.877193,,0.928571,0.857143,0.923077,0.024280,d2aeab4,e66eb67970e4
